GHS_NUM;GHM_NUM;GHS_SEU_BAS;GHS_SEU_HAU;GHS_PRI;EXH_PRI;EHB_FOR;EHB_PRI
0670;03C162;0;23;5706.76;269.03;0.00;0.00
0671;03C163;4;44;11356.30;446.05;5649.54;0.00
0672;03C164;12;69;22507.62;604.83;11151.31;0.00
0673;03C16J;0;0;1046.27;0.00;0.00;0.00
0674;03C171;0;5;1505.18;182.85;0.00;0.00
0675;03C172;0;17;3699.41;406.73;0.00;0.00
0676;03C173;5;27;8853.50;610.25;5154.09;0.00
0677;03C174;0;0;16219.87;0.00;0.00;0.00
0678;03C17J;0;0;754.46;0.00;0.00;0.00
0679;03C181;2;7;5441.62;245.69;0.00;906.94
0680;03C182;0;10;6178.68;1135.18;0.00;0.00
0681;03C183;0;0;14786.93;0.00;0.00;0.00
0682;03C184;0;0;27090.10;0.00;0.00;0.00
0683;03C191;2;8;4040.86;368.17;0.00;673.48
0684;03C192;4;24;9931.54;754.71;5890.68;0.00
0685;03C193;0;0;23768.37;0.00;0.00;0.00
0686;03C194;0;0;43544.37;0.00;0.00;0.00
0687;03C201;0;5;2198.62;534.18;0.00;0.00
0688;03C202;0;11;5403.73;879.88;0.00;0.00
0689;03C203;0;0;12932.31;0.00;0.00;0.00
0690;03C204;0;0;23692.38;0.00;0.00;0.00
0691;03C20J;0;0;1414.58;0.00;0.00;0.00
0692;03C211;0;3;1452.38;790.41;0.00;0.00
0693;03C212;0;0;3781.82;0.00;0.00;0.00
0694;03C213;0;0;9050.74;0.00;0.00;0.00
0695;03C214;0;0;16581.22;0.00;0.00;0.00
0696;03C21J;0;0;1452.38;0.00;0.00;0.00
0697;03C22J;0;0;587.56;0.00;0.00;0.00
0698;03C241;2;8;3384.16;144.03;0.00;1203.49
0699;03C242;0;14;4248.33;493.24;0.00;0.00
0700;03C243;0;26;10167.20;726.23;0.00;0.00
0701;03C244;0;0;18626.61;0.00;0.00;0.00
0702;03C24J;0;0;977.18;0.00;0.00;0.00
0703;03C251;8;42;11580.59;209.15;0.00;1129.63
0704;03C252;9;56;14508.70;259.61;2928.11;0.00
0705;03C253;9;74;20362.20;185.83;5853.50;0.00
0706;03C254;11;90;23335.42;485.72;2973.22;0.00
0707;03C261;4;17;5483.34;215.64;0.00;939.72
0708;03C262;6;32;8717.90;336.40;3234.56;0.00
0709;03C263;8;47;13763.88;541.56;5045.98;0.00
0710;03C264;11;62;27407.15;815.93;13643.27;0.00
0711;03C05T;0;0;2290.41;0.00;0.00;0.00
0815;03K021;0;3;918.09;305.89;0.00;0.00
0816;03K022;0;14;4607.40;584.47;0.00;0.00
0817;03K023;0;0;7586.52;0.00;0.00;0.00
0818;03K024;0;0;10368.19;0.00;0.00;0.00
0819;03K02J;0;0;927.51;0.00;0.00;0.00
0820;03K03J;0;0;691.56;0.00;0.00;0.00
0821;03K04J;0;0;530.92;0.00;0.00;0.00
0822;03M021;0;3;821.33;93.30;0.00;0.00
0823;03M022;0;14;1847.63;131.44;0.00;0.00
0824;03M023;0;21;2767.74;237.51;0.00;0.00
0825;03M024;0;0;5268.72;0.00;0.00;0.00
0826;03M031;0;6;1423.40;200.11;0.00;0.00
0827;03M032;0;10;2286.03;189.74;0.00;0.00
0828;03M033;0;16;3424.45;397.13;0.00;0.00
0829;03M034;0;0;6518.85;0.00;0.00;0.00
0830;03M041;0;7;1333.15;121.73;0.00;0.00
0831;03M042;0;15;2635.24;113.31;0.00;0.00
0832;03M043;0;24;3705.82;111.62;0.00;0.00
0833;03M044;9;54;7054.38;241.20;3348.56;0.00
0834;03M051;0;8;1511.14;105.71;0.00;0.00
0835;03M052;0;15;2263.09;104.21;0.00;0.00
0836;03M053;0;23;3096.77;248.46;0.00;0.00
0837;03M054;0;0;5894.98;0.00;0.00;0.00
0838;03M061;0;8;1541.58;135.26;0.00;0.00
0839;03M062;0;14;2383.74;131.86;0.00;0.00
0840;03M063;0;23;3570.51;279.91;0.00;0.00
0841;03M064;0;0;6796.89;0.00;0.00;0.00
0842;03M071;0;5;1425.46;161.39;0.00;0.00
0843;03M072;0;24;4601.95;155.28;0.00;0.00
0844;03M073;4;42;7396.93;201.79;2794.98;0.00
0845;03M074;6;56;10221.99;341.16;2825.06;0.00
0846;03M07T;0;0;718.41;0.00;0.00;0.00
0847;03M081;0;6;1362.91;123.24;0.00;0.00
0848;03M082;0;17;2854.92;120.14;0.00;0.00
0849;03M083;0;28;4276.64;117.10;0.00;0.00
0850;03M084;0;61;8141.09;246.52;0.00;0.00
0851;03M091;0;7;1516.23;132.12;0.00;0.00
0852;03M092;0;19;3481.81;108.36;0.00;0.00
0853;03M093;4;35;5215.54;261.87;1733.73;0.00
