COD_RES;RES_LIB;TEC_COL
47380;MONCLAR;0
47390;LAYRAC;0
47400;TONNEINS;0
47410;LAUZUN;0
47420;HOUEILLES;0
47430;LE MAS D AGENAIS;0
47440;CASSENEUIL;0
47450;COLAYRAC ST CIRQ;0
47470;BEAUVILLE;0
47480;PONT DU CASSE;0
47500;FUMEL;0
47510;FOULAYRONNES;0
47520;LE PASSAGE;0
47550;BOE;0
47600;NERAC;0
47700;CASTELJALOUX;0
48000;MENDE;0
48100;MARVEJOLS;0
48140;LE MALZIEU VILLE;0
48150;MEYRUEIS;0
48170;CHATEAUNEUF DE RANDON;0
48600;GRANDRIEU;0
49000;ANGERS;0
49080;BOUCHEMAINE;0
49112;PELLOUAILLES LES VIGNES;0
49122;JALLAIS;0
49125;TIERCE;0
49150;BAUGE;0
49190;CHALONNES SUR LOIRE;0
49230;MONTFAUCON;0
49260;MONTREUIL BELLAY;0
49270;ST LAURENT DES AUTELS;0
49290;CHALONNES SUR LOIRE;0
49310;VIHIERS;0
49330;CHATEAUNEUF SUR SARTHE;0
49360;MAULEVRIER;0
49430;DURTAL;0
49630;MAZE;0
50000;ST LO;0
50110;TOURLAVILLE;0
50130;OCTEVILLE;0
50150;SOURDEVAL;0
50170;PONTORSON;0
50200;COUTANCES;0
50230;AGON COUTAINVILLE;0
50260;BRICQUEBEC;0
50290;BREHAL;0
50310;MONTEBOURG;0
50330;ST PIERRE EGLISE;0
32000;AUCH;0
32110;NOGARO;0
32130;SAMATAN;0
32160;PLAISANCE;0
32200;GIMONT;0
32240;ESTANG;0
32270;AUBIET;0
32310;VALENCE SUR BAISE;0
32340;MIRADOUX;0
32370;MANCIET;0
32390;MONTESTRUC SUR GERS;0
32410;CASTERA VERDUZAN;0
32450;SARAMON;0
32730;VILLECOMTAL SUR ARROS;0
33000;BORDEAUX;0
33114;LE BARP;0
33124;AUROS;0
33126;FRONSAC;0
33130;BEGLES;0
33141;FRONSAC;0
33170;GRADIGNAN;0
33210;LANGON;0
33240;ST ANDRE DE CUBZAC;0
33270;FLOIRAC;0
33320;EYSINES;0
33340;LESPARRE MEDOC;0
33370;TRESSES;0
33390;BLAYE;0
33420;BRANNE;0
33450;ST LOUBES;0
33460;MARGAUX;0
33470;GUJAN MESTRAS;0
33480;CASTELNAU DE MEDOC;0
33490;ST MACAIRE;0
33500;LIBOURNE;0
33510;ANDERNOS LES BAINS;0
33520;BRUGES;0
33530;BASSENS;0
33540;SAUVETERRE DE GUYENNE;0
33550;LANGOIRAN;0
33560;CARBON BLANC;0
33570;LUSSAC;0
33580;MONSEGUR;0
33590;ST VIVIEN DE MEDOC;0
33600;PESSAC;0
33610;CESTAS;0
33620;CAVIGNAC;0
33640;PORTETS;0
33650;LA BREDE;0
33660;ST SEURIN SUR L ISLE;0
33670;CREON;0
33680;LACANAU;0
33690;GRIGNOLS;0
33700;MERIGNAC;0
33710;BOURG;0
33720;PODENSAC;0
