ATT_ELE_MAT;ATT_ELD_MAT;ATT_ELP_MAT;ATT_ELD_LIB;TEC_COL
31;12;01;TOURNEVIS. -;0
31;13;01;TENAILLES, ARRACHE-CLOUS, PINCES COUPANTES;0
31;14;01;LEVIERS, PINCES DE MANUTENTION. BARRES A MINE, DEMONTE-PNEUS;0
31;15;01;PELLES, BECHES, PICS, PIOCHES, FOURCHES;0
31;16;01;COUTELAS;0
32;01;01;NON PRECISE : APPAREILS A PRESSION;0
32;02;01;NON CLASSE CI-DESSOUS;0
32;03;01;CHAUDIERES, AUTOCLAVES, CHAUDRONS;0
32;04;01;RESERVOIRS SOUS PRESSION. - CHAUFFE-EAU;0
32;05;01;BOUTEILLES;0
32;06;01;GENERATEURS D'ACETYLENE;0
