MED_NCL_IDT;MED_MTF_COD;MED_MTF_LIB;TEC_COL
CIM10;E79;PURINE ET PYRIMIDINE;0
CIM10;E798;ANOM.META.PURINE,& P;0
CIM10;E80;A COMPLETER;0
CIM10;E802;A COMPLETER;0
CIM10;E807;ANOM. METAB.BILIRU.;0
CIM10;E83;A COMPLETER;0
CIM10;E830;ANOM. METAB. CUIVRE;0
CIM10;E831;ANOM. METAB. DU FER;0
CIM10;E832;A COMPLETER;0
CIM10;E833;ANOM. METAB.  PHOSP.;0
CIM10;E834;ANOM. METAB.MAGNES.;0
CIM10;E835;A COMPLETER;0
CIM10;E838;ANOM.METAB.MINER.NCA;0
CIM10;E839;ANOM.METAB.MINER.NCA;0
CIM10;E84;A COMPLETER;0
CIM10;E85;A COMPLETER;0
CIM10;E850;A COMPLETER;0
CIM10;E86;A COMPLETER;0
CIM10;E87;A COMPLETER;0
CIM10;E88;A COMPLETER;0
CIM10;E888;ANOM.METAB.PREC.,NCA;0
CIM10;E89;A COMPLETER;0
CIM10;E90;A COMPLETER;0
CIM10;F00;A COMPLETER;0
CIM10;F01;A COMPLETER;0
CIM10;F02;A COMPLETER;0
CIM10;F021;A COMPLETER;0
CIM10;F03;A COMPLETER;0
CIM10;F04;SD. AMNESIQ. ORG.;0
CIM10;F05;DELIRIUM NON ALC.OU;0
CIM10;F06;A COMPLETER;0
CIM10;F07;Tbl. PERSON. DUS A;0
CIM10;F09;A COMPLETER;0
CIM10;F10;A COMPLETER;0
CIM10;F102;A COMPLETER;0
CIM10;F104;ALCOOL:SD.DE SEVR.+;0
CIM10;F105;ALCOOL:Tbl. PSYCHOT.;0
CIM10;F106;ALCOOL:SYND. AMNES.;0
CIM10;F107;ALCOOL:Tb. RESIDUEL;0
CIM10;F108;Tb MENT.ALCOOL NCA,;0
CIM10;F109;Tb MENT.ALCOOL NCA,;0
CIM10;F11;A COMPLETER;0
CIM10;F114;OPIACES:SD. DE SEVR.;0
CIM10;F115;OPIACES:Tb PSYCHOT.;0
CIM10;F116;OPIACES:SD. AMNESIQ.;0
CIM10;F117;OPIACES:Tbl RESIDUEL;0
CIM10;F118;Tbl.MENT.OPIACES NCA;0
CIM10;F119;Tbl.MENT.OPIACES SAI;0
CIM10;F12;A COMPLETER;0
CIM10;F13;A COMPLETER;0
CIM10;F134;SEDATIFS:SYND. SEVRA;0
CIM10;F135;SEDATIFS:Tbl.PSYCHOT;0
CIM10;F136;SEDATIFS:SYND.AMNES.;0
CIM10;F137;SEDATIFS:Tb.RESIDUEL;0
CIM10;F138;Tb MENT.SEDATIFS NCA;0
CIM10;F139;Tb.MENT.SEDATIFS SAI;0
CIM10;F14;A COMPLETER;0
CIM10;F144;COCAINE :SYND. SEVR.;0
CIM10;F145;COCAINE:Tbl.PSYCHOT.;0
CIM10;F146;COCAINE:SYND. AMNES.;0
CIM10;F147;COCAINE:Tbl.RESIDUEL;0
CIM10;F148;Tb.MENT.COCAINE NCA;0
CIM10;F149;Tb.MENT.COCAINE SAI;0
CIM10;F15;A COMPLETER;0
CIM10;F16;A COMPLETER;0
CIM10;F164;HALLUC.:SD. SEVR.+;0
CIM10;F165;HALLUC.:Tbl.PSYCHOT.;0
CIM10;F166;HALLUC.:SD. AMNESIQ.;0
CIM10;F167;HALLUC.:Tb.RESIDUEL;0
CIM10;F168;Tb.MENT./HALLUC.NCA;0
CIM10;F169;Tb.MENT./HALLUC.SAI;0
CIM10;F17;A COMPLETER;0
CIM10;F18;A COMPLETER;0
CIM10;F19;A COMPLETER;0
CIM10;F192;DROGUES  NCA:DEPEND.;0
CIM10;F20;A COMPLETER;0
CIM10;F21;A COMPLETER;0
CIM10;F22;Tb. DELIRANT PERSIST;0
CIM10;F23;Tb.PSYCHOT.AIG.& TR.;0
CIM10;F24;A COMPLETER;0
CIM10;F25;Tbl. SCHIZO-AFFECTIF;0
CIM10;F28;Tb.PSYCHOT. NON ORG;0
CIM10;F29;PSYCHOSE NON ORG.SAI;0
CIM10;F30;A COMPLETER;0
CIM10;F31;A COMPLETER;0
CIM10;F32;A COMPLETER;0
CIM10;F323;DEPRES.++& S. PSYCH;0
CIM10;F33;Tbl. DEPRES. RECURR.;0
CIM10;F34;A COMPLETER;0
CIM10;F38;A COMPLETER;0
CIM10;F39;A COMPLETER;0
CIM10;F40;Tb. ANXIEUX PHOBIQUE;0
CIM10;F41;A COMPLETER;0
CIM10;F411;A COMPLETER;0
CIM10;F412;Tb. ANXIODEPR. MIXTE;0
CIM10;F42;Tbl. OBSESS.-COMPUL.;0
CIM10;F43;A COMPLETER;0
