ETB_FIN_NUM;ETB_FIN_CLE;ORG_GRG_COD;ORG_CAI_NUM
44002758;9;1;441
44002937;9;1;441
44002944;5;1;442
44003381;9;1;441
44003617;6;1;441
44003621;8;1;441
44003647;3;1;441
44003767;9;1;441
44003956;8;1;442
44004158;0;1;441
44004251;3;1;441
44004313;1;1;441
44004379;2;1;441
44004445;1;1;441
45000022;9;1;451
45000023;7;1;451
45000024;5;1;451
45000025;2;1;451
45000027;8;1;451
45000028;6;1;451
45000029;4;1;451
45000953;5;1;451
45001007;9;1;451
45001077;2;1;451
45001154;9;1;451
45001293;5;1;451
45001296;8;1;451
45001308;1;1;451
45001366;9;1;451
45001379;2;1;451
45001381;8;1;451
45001514;4;1;451
45001534;2;1;451
45001769;4;1;451
45001831;2;1;451
45001839;5;1;451
45001846;0;1;451
45001853;6;1;451
46000366;8;1;461
46000464;1;1;461
46078004;2;1;461
46078006;7;1;461
46078013;3;1;461
46078590;0;1;461
46078634;6;1;461
46078635;3;1;461
46078647;8;1;461
47000002;7;1;471
47000007;6;1;471
47000008;4;1;471
47000014;2;1;471
47000015;9;1;471
47000186;8;1;471
47000226;2;1;471
47000232;0;1;471
47000234;6;1;471
47000235;3;1;471
47000236;1;1;471
47000238;7;1;471
47000239;5;1;471
47000240;3;1;471
47000241;1;1;471
47000935;8;1;471
47001036;4;1;471
48000083;5;1;481
48078011;3;1;481
49000018;9;1;491
49000024;7;1;491
49000026;2;1;491
49000028;8;1;491
49000030;4;1;491
49000031;2;1;491
49000059;3;1;491
49000066;8;1;491
49000203;7;1;492
49000297;9;1;492
49000822;4;1;492
49001135;0;1;491
49001137;6;1;491
49001490;9;1;491
49001543;5;1;491
49001590;6;1;491
49053192;8;1;491
49053492;2;1;492
49053781;8;1;491
49054044;0;1;491
49054367;5;1;491
50000014;6;1;501
50000015;3;1;501
50000020;3;1;501
50000021;1;1;501
50000022;9;1;501
50000040;1;1;501
50000041;9;1;501
50000235;7;1;501
50001268;7;1;501
51000001;1;1;511
51000018;5;1;511
51000019;3;1;511
51000022;7;1;511
51000024;3;1;511
51000026;8;1;511
51000028;4;1;511
51000229;8;1;511
51000949;1;1;511
51001018;4;1;511
51001019;2;1;511
51001074;7;1;511
51001075;4;1;511
51001146;3;1;511
51001204;0;1;511
52000075;3;1;511
52000316;1;1;511
52078015;6;1;511
52078018;0;1;511
52078021;4;1;511
53000010;8;1;531
53000012;4;1;531
53000289;8;1;531
53003150;9;1;531
53003196;2;1;531
54000028;8;1;542
54000036;1;1;542
54000038;7;1;542
54000040;3;1;542
54000044;5;1;542
54000045;2;1;542
54000046;0;1;542
54000047;8;1;542
54000048;6;1;542
54000049;4;1;542
54000098;1;1;542
54000519;6;1;542
54000838;0;1;542
54001056;8;1;542
54001322;4;1;542
54001887;6;1;542
54001902;3;1;542
55000017;8;1;542
55000018;6;1;542
55000288;5;1;542
55000521;9;1;542
56000208;1;1;561
56000212;3;1;561
56000251;1;1;561
56000400;4;1;561
56000751;0;1;561
56000879;9;1;561
56000949;0;1;561
56000950;8;1;561
56000952;4;1;561
56000953;2;1;561
56000955;7;1;561
56001374;0;1;561
56001850;9;1;561
56002020;8;1;561
56002218;8;1;561
56002315;2;1;561
56002316;0;1;561
57000008;3;1;572
57000035;6;1;573
57000036;4;1;573
57000064;6;1;571
57000228;7;1;571
57000390;5;1;571
57000400;2;1;572
57001008;2;1;571
57001163;5;1;573
57001247;6;1;572
57001398;7;1;571
57001563;6;1;571
57002283;0;1;572
58000189;9;1;581
58078013;8;1;581
58078015;3;1;581
58078017;9;1;581
58078018;7;1;581
58078019;5;1;581
58078020;3;1;581
58078021;1;1;581
58078023;7;1;581
58078026;0;1;581
58097036;6;1;581
58097134;9;1;581
58097200;8;1;581
58097247;9;1;581
58097254;5;1;581
59000687;0;1;592
59000689;6;1;596
59000804;1;1;599
59000827;2;1;598
59000828;0;1;598
59000830;6;1;593
59000857;9;1;595
59001541;8;1;592
59002343;8;1;594
59002512;8;1;599
59002545;8;1;591
59003173;8;1;595
59003210;8;1;593
59003219;9;1;592
59003473;2;1;599
59003481;5;1;596
59003520;0;1;595
59003539;0;1;595
59003793;3;1;597
59004031;7;1;592
59004032;5;1;595
59004147;1;1;599
59004464;0;1;595
59078006;0;1;593
59078009;4;1;593
59078023;5;1;595
59078024;3;1;595
59078025;0;1;595
59078026;8;1;595
59078034;2;1;595
59078038;3;1;595
59078157;1;1;592
59078195;1;1;598
59078225;6;1;599
59078228;0;1;599
59078229;8;1;599
59078246;2;1;597
59078249;6;1;597
59078254;6;1;597
59078255;3;1;597
59078318;9;1;593
59078448;4;1;596
59078491;4;1;595
59078896;4;1;596
59079065;5;1;598
59079110;9;1;593
59079738;7;1;595
59080227;8;1;597
59080468;8;1;597
59080539;6;1;595
59080636;0;1;595
59080642;8;1;593
59080676;6;1;595
59080909;1;1;594
59080919;0;1;599
59080970;3;1;592
59081009;9;1;592
59081010;7;1;597
59081013;1;1;596
59081070;1;1;597
59081078;4;1;598
59081094;1;1;596
59081100;6;1;596
59081250;9;1;595
59081306;9;1;593
59081317;6;1;592
59081334;1;1;595
59081338;2;1;594
59081350;7;1;596
59081374;7;1;596
59081500;7;1;599
59081505;6;1;594
59081590;8;1;595
59081591;6;1;597
59081631;0;1;593
59081637;7;1;591
59081642;7;1;596
59081745;8;1;598
59081747;4;1;595
59081783;9;1;598
60000189;5;1;602
60000206;7;1;602
60000300;8;1;602
60000864;3;1;602
60000873;4;1;602
60000905;4;1;601
60010017;6;1;602
60010018;4;1;602
60010029;1;1;602
60010075;4;1;601
60010083;8;1;601
60010974;8;1;601
60011003;5;1;602
60011017;5;1;601
60011039;9;1;601
60011246;0;1;601
60011329;4;1;602
60011350;0;1;602
60011371;6;1;602
61000583;7;1;611
61078019;9;1;611
61078036;3;1;611
61078045;4;1;611
62000388;9;1;624
62000389;7;1;624
62000604;9;1;623
62001005;8;1;623
62001034;8;1;623
62001038;9;1;621
62001133;8;1;622
62001294;8;1;624
62001364;9;1;622
62001812;7;1;623
62002063;6;1;621
62002538;7;1;622
62010009;9;1;621
62010011;5;1;621
62010048;7;1;622
62010049;5;1;622
62010073;5;1;624
62010075;0;1;624
62010130;3;1;623
62010131;1;1;623
62010150;1;1;621
62010166;7;1;624
62010594;0;1;621
62010598;1;1;624
62010608;8;1;624
62011152;6;1;622
62011258;1;1;624
62011517;0;1;621
62011541;0;1;624
62011604;6;1;622
62011641;8;1;623
62011730;9;1;624
62011731;7;1;622
62011732;5;1;624
62011781;2;1;624
62011851;3;1;622
62012006;3;1;623
63000566;8;1;631
63001029;6;1;631
63078012;0;1;631
63078021;1;1;631
63078031;0;1;631
63078036;9;1;631
63078040;1;1;631
63078056;7;1;631
63078057;5;1;631
63078058;3;1;631
63078060;9;1;631
63078062;5;1;631
63078064;1;1;631
63078066;6;1;631
63078067;4;1;631
63078070;8;1;631
63078073;2;1;631
63078074;0;1;631
63078078;1;1;631
63078079;9;1;631
63078081;5;1;631
63078084;9;1;631
63078086;4;1;631
63078089;8;1;631
63078141;7;1;631
63078143;3;1;631
63078182;1;1;631
63078183;9;1;631
63078301;7;1;631
63078310;8;1;631
63078474;2;1;631
63078665;5;1;631
63078936;0;1;631
64000530;2;1;641
