PHA_PRS_IDE;PHA_ATC_CLA;GRP_GRP_COD;TEC_COL
3319908;M01;;0
3319914;C08;;0
3320521;A02;;0
3320538;A11;;0
3320633;C05;;0
3320656;A02;;0
3320662;A02;;0
3320797;N02;;0
3320857;A02;;0
3320863;A02;;0
3320886;A02;;0
3320892;A11;;0
3320923;J01;Ant;0
3321466;A09;;0
3321733;A12;;0
3321928;J01;Ant;0
3321934;N04;;0
3321957;C05;;0
3322000;G01;;0
3322017;N02;;0
3322075;N02;;0
3322129;C10;Sta;0
3322141;C10;Sta;0
3322164;S01;;0
3322218;A11;;0
3322247;C03;;0
3322282;N05;;0
3322572;A12;;0
3240006;N05;Psy;0
3240041;J01;Ant;0
3240058;J01;Ant;0
3240064;J01;Ant;0
3203531;J07;;0
3204039;B05;;0
3204068;B05;;0
3204329;D07;;0
3204364;A07;;0
3204370;N05;;0
3204588;INC;;0
3204594;INC;;0
3204654;D08;;0
3204915;D07;;0
3204950;M01;;0
3204996;B01;;0
3205004;J01;Ant;0
3205056;M01;;0
3205116;J01;Ant;0
3205168;R05;;0
3205375;B05;;0
