SEE_RSQ_NUM;SEE_BUR_NUM;SEE_CTN_NUM;ATV_COD_STR;SEE_RSQ_LIB;GRT_ACT_NUM;CTN_COD_FIN;GFI_COD_FIN;CTN_COD_CAL;GFC_NUM_CAL;TOP_TAR_IND;RSQ_BUR_IND;RSQ_BEN_IND;RSQ_DOC_IND;TAU_ECR_RDO;RSQ_CGL_IND;RSQ_ETT_IND;RSQ_SAL_IND;RSQ_EFF_IND;RSQ_HRE_IND;RSQ_COT_IND;RSQ_EFF_NGL;RSQ_BAT_IND;RSQ_EXC_IND;TEC_COL
926CH;N;CC;;Sportifs professionnels, y compris entraîneurs joueurs, quel que soit le classement de l'établissement qui les emploie : rugby, escalade, moto, handball, basket;13;CC;35;CC;35;;0;0;0;0;0;0;1;1;1;0;0;0;1;0
926CI;B;ZZ;;;0;ZZ;0;ZZ;0;;0;0;0;0;0;0;1;1;1;0;0;0;1;0
926CI;N;CC;;Sportifs professionnels, pour les sports non visés par ailleurs, incluant également les entraîneurs non joueurs des sports visés par le 926CH, quel que soit le;13;CC;34;CC;34;;0;0;0;0;0;0;1;1;1;0;0;0;1;0
927AA;B;ZZ;X;;00;ZZ;000;ZZ;000;;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
927AA;N;CC;X;Jeux de hasard et d'argent;13;CC;049;CC;049;;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
927AB;B;ZZ;X;;0;ZZ;0;ZZ;0;;1;0;0;0;0;0;1;1;1;0;0;0;0;0
927AB;N;CC;X;Organisation de jeux de hasard et d'argent (dont courses de chevaux et de taureaux).;13;CC;49;CC;49;;1;0;0;0;0;0;1;1;1;0;0;0;0;0
927CA;B;ZZ;X;;00;ZZ;000;ZZ;000;;1;0;0;00000;0;0;1;1;1;0;0;0;1;0
927CA;N;CC;X;Autres spectacles et services récréatifs (bal, dancing, patinage, curiosités naturelles, spectacles son et lumière, parcs zoologiques privés, parcs d'attraction;13;CC;031;CC;031;;1;0;0;00000;0;0;1;1;1;0;0;0;1;0
927CB;B;ZZ;X;;00;ZZ;000;ZZ;000;;1;0;0;00000;0;0;1;1;1;0;0;0;1;0
927CB;N;CC;X;Attractions foraines (sauf les artistes) sans montage de manège. Autres spectacles et services récréatifs (Y compris bal, dancing, patinage, curiosités;13;CC;031;CC;031;;1;0;0;00000;0;0;1;1;1;0;0;0;1;0
927CC;B;ZZ;X;;0;ZZ;0;ZZ;0;;1;0;0;0;0;0;1;1;1;0;0;0;0;0
927CC;N;CC;X;Attractions foraines (sauf les artistes) avec et sans montage de manèges ou de chapiteaux, et autres spectacles et services récréatifs;13;CC;36;CC;36;;1;0;0;0;0;0;1;1;1;0;0;0;0;0
930AA;B;ZZ;X;;00;ZZ;000;ZZ;000;;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
930AA;N;FF;X;Blanchisserie et teinturerie de gros;11;FF;037;FF;037;;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
930BA;B;ZZ;X;;0;ZZ;0;ZZ;0;;1;0;0;0;0;0;1;1;1;0;0;0;0;0
930BA;N;FF;X;Blanchisserie et teinturerie de détail, y compris laverie automatique;11;FF;36;FF;36;;1;0;0;0;0;0;1;1;1;0;0;0;0;0
930DA;B;ZZ;X;;00;ZZ;000;ZZ;000;;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
930DA;N;II;X;Coiffure. - Travail du cheveu. - Fabrication de postiches;07;II;017;II;017;;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
930DB;B;ZZ;X;;0;ZZ;0;ZZ;0;;1;0;0;0;0;0;1;1;1;0;0;0;0;0
930DB;N;II;X;Coiffure. Fabrication de postiches. Esthétique corporelle.;7;II;17;II;17;;1;0;0;0;0;0;1;1;1;0;0;0;0;0
930EA;B;ZZ;X;;00;ZZ;000;ZZ;000;;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
930EA;N;II;X;Esthétique corporelle;07;II;017;II;017;;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
930HB;B;ZZ;X;;0;ZZ;0;ZZ;0;;1;0;0;0;0;0;1;1;1;0;0;0;0;0
930HB;N;II;X;Pompes funèbres et services annexes, y compris le commerce d'articles funéraires;7;II;20;II;20;;1;0;0;0;0;0;1;1;1;0;0;0;0;0
930KA;B;ZZ;X;;00;ZZ;000;ZZ;000;;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
930KA;N;II;X;Autres instituts pour la santé (établissements thermaux, etc.);03;II;007;II;007;;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
930NA;B;ZZ;X;;00;ZZ;000;ZZ;000;;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
930NA;N;II;X;Services personnels divers (autre que 93.0NB);07;II;018;II;018;;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
930NB;B;ZZ;X;;00;ZZ;000;ZZ;000;;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
930NB;N;II;X;Cabinets de graphologie, agences matrimoniales;07;II;014;II;014;;1;0;0;00000;0;0;1;1;1;0;0;0;0;0
930NC;B;ZZ;X;;0;ZZ;0;ZZ;0;;1;0;0;0;0;0;1;1;1;0;0;0;0;0
930NC;N;II;X;Services personnels divers (y compris cabinets de graphologie, agences matrimoniales).;7;II;18;II;18;;1;0;0;0;0;0;1;1;1;0;0;0;0;0
950ZA;B;ZZ;X;;0;ZZ;0;ZZ;0;*;0;0;0;0;1;0;1;0;0;0;1;0;1;0
950ZA;N;ZZ;X;Toute personne occupée exclusivement au service de particuliers : employés de maison (femme de ménage, lingère, couturière, blanchisseuse à la journée, chauffeu;0;ZZ;0;ZZ;0;*;0;0;0;0;1;0;1;0;0;0;1;0;1;0
