GHS_NUM;GHM_NUM;GHS_SEU_BAS;GHS_SEU_HAU;GHS_PRI;EXH_PRI;EHB_FOR;EHB_PRI;GHS_COE_MED;GHS_COE_DMI
3947;10M123;0;36;6063.83;151.03;0.00;0.00;0.00714;0.00293
3948;10M124;7;58;9386.40;303.01;3322.57;0.00;0.00714;0.00293
3949;10M12T;0;0;631.36;0.00;0.00;0.00;0.00289;0.00022
3950;10M13Z;0;0;714.14;0.00;0.00;0.00;0.05215;0.00021
3973;10M14T;0;0;669.58;0.00;0.00;0.00;0.00832;0.00000
3951;10M14Z;0;8;1751.40;399.39;0.00;0.00;0.00060;0.00007
3952;10M151;0;6;1609.16;189.39;0.00;0.00;0.00087;0.00001
3953;10M152;0;13;2934.90;201.88;0.00;0.00;0.00524;0.00005
3954;10M153;0;19;5026.49;152.98;0.00;0.00;0.00159;0.00002
3955;10M154;7;37;7780.04;389.00;2753.55;0.00;0.00159;0.00002
3956;10M15T;0;0;553.01;0.00;0.00;0.00;0.00070;0.00001
3957;10M161;0;7;1231.03;122.85;0.00;0.00;0.00199;0.00066
3958;10M162;0;17;2517.98;116.99;0.00;0.00;0.00449;0.00071
3959;10M163;5;27;3687.93;143.29;1169.95;0.00;0.00896;0.00089
3960;10M164;0;38;5264.10;253.79;0.00;0.00;0.00259;0.00039
3961;10M16T;0;0;566.30;0.00;0.00;0.00;0.02174;0.00083
3962;10M171;0;10;2022.91;191.84;0.00;0.00;0.00141;0.00003
3963;10M172;0;26;5092.43;306.62;0.00;0.00;0.00302;0.00005
3964;10M173;0;35;8756.20;263.57;0.00;0.00;0.01007;0.00003
3965;10M174;0;56;14291.16;443.26;0.00;0.00;0.01007;0.00003
3966;10M17T;0;0;669.12;0.00;0.00;0.00;0.01174;0.00004
3967;10M181;0;10;1886.87;122.79;0.00;0.00;0.01068;0.00034
3968;10M182;0;27;4008.65;117.08;0.00;0.00;0.00547;0.00072
3969;10M183;0;39;5978.60;93.83;0.00;0.00;0.02013;0.00028
3970;10M184;6;54;7386.01;256.39;1407.41;0.00;0.02781;0.00009
3971;10M18T;0;0;606.78;0.00;0.00;0.00;0.02100;0.00013
