UCD_COD;APP_DTE;UCD_TTC_MNT
9149838;01JAN2010:00:00:00;7.25
9153395;01JAN2012:00:00:00;111.35
9153403;01JAN2012:00:00:00;60.41
9153691;01JAN2010:00:00:00;1.50
9153716;01JAN2010:00:00:00;2.24
9153722;01JAN2010:00:00:00;0.45
9153739;01JAN2010:00:00:00;0.77
9153857;01JAN2010:00:00:00;269.54
9154182;01JAN2010:00:00:00;22.53
9156086;01JAN2010:00:00:00;4.08
9157364;01JAN2010:00:00:00;26.65
9157849;01JAN2010:00:00:00;4.08
9157855;01JAN2010:00:00:00;14.29
9160314;11MAY2005:00:00:00;8.93
9160490;11MAY2005:00:00:00;1324.24
9160509;01JAN2010:00:00:00;882.14
9162336;01JAN2010:00:00:00;118.44
9163577;01JAN2010:00:00:00;45.95
9165168;11MAY2005:00:00:00;8.93
9165174;11MAY2005:00:00:00;17.87
9165180;11MAY2005:00:00:00;26.80
9165197;11MAY2005:00:00:00;35.74
9166883;01JAN2010:00:00:00;0.36
9166908;01JAN2010:00:00:00;0.21
9166914;21JUN2012:00:00:00;4.59
9167411;01JAN2010:00:00:00;16.85
9167440;15OCT2013:00:00:00;62.99
9167977;01JAN2010:00:00:00;6.80
9168014;01JAN2010:00:00:00;234.83
9169321;11MAY2005:00:00:00;796.38
9169344;11MAY2005:00:00:00;398.19
9170169;01JAN2010:00:00:00;673.86
9170175;01JAN2010:00:00:00;2348.30
9170442;01AUG2010:00:00:00;127.63
9170459;01AUG2010:00:00:00;255.25
9171341;01JAN2010:00:00:00;177.65
9172607;01JAN2010:00:00:00;207.26
9173104;01JAN2010:00:00:00;3.48
9173110;01JAN2010:00:00:00;16.48
9173311;01JAN2010:00:00:00;161.65
9173475;24JAN2008:00:00:00;530.92
9175304;01JAN2010:00:00:00;39.00
9175511;01JAN2011:00:00:00;42.58
9175801;01JAN2010:00:00:00;4.08
9177177;11MAY2005:00:00:00;969.95
9177579;01JAN2010:00:00:00;2.84
9177585;01JAN2010:00:00:00;2.96
9177591;01JAN2010:00:00:00;3.09
9177616;01JAN2010:00:00:00;3.20
9177881;01JAN2010:00:00:00;
9178082;01SEP2011:00:00:00;71.31
9178099;01SEP2011:00:00:00;277.30
9178811;01JAN2010:00:00:00;
9179029;01JAN2010:00:00:00;106.18
9179213;01JAN2010:00:00:00;1.33
9179236;01JAN2010:00:00:00;2.35
9179242;01JAN2010:00:00:00;3.37
9179650;01MAR2012:00:00:00;921.45
9179667;01MAR2012:00:00:00;460.73
9180073;01JAN2010:00:00:00;1.63
9180096;01JAN2010:00:00:00;2.45
9180104;01JAN2010:00:00:00;112.32
9180802;01JAN2010:00:00:00;0.79
9180819;01JAN2010:00:00:00;1.58
9181664;01JAN2010:00:00:00;1.15
9181670;01MAR2012:00:00:00;735.12
9181687;01MAR2012:00:00:00;367.56
9181753;01MAR2012:00:00:00;1489.84
9181776;01MAR2012:00:00:00;2979.69
9181782;01MAR2012:00:00:00;744.92
9182066;01JAN2010:00:00:00;153.15
9182184;07DEC2011:00:00:00;2.07
9182190;01JAN2010:00:00:00;105.07
9182209;01JAN2010:00:00:00;21.97
9182356;01JAN2010:00:00:00;35.21
9182480;01JAN2010:00:00:00;269.54
9182824;01JAN2011:00:00:00;21.29
9182830;01JAN2011:00:00:00;425.76
9182847;01JAN2011:00:00:00;106.44
9182853;01JAN2011:00:00:00;212.88
9183195;01JAN2010:00:00:00;40.42
